appid,review_score,review_score_desc,total_reviews
1537830,5.0,Mixed,589.0
1761390,9.0,Overwhelmingly Positive,8869.0
2163330,8.0,Very Positive,4046.0
235900,8.0,Very Positive,775.0
307950,0.0,8 user reviews,8.0
394690,8.0,Very Positive,10092.0
740130,8.0,Very Positive,10790.0
921570,8.0,Very Positive,4620.0
4040960,0.0,No user reviews,0.0
704270,6.0,Mostly Positive,17723.0
2291060,6.0,Mostly Positive,3773.0
528740,4.0,Mostly Negative,16.0
2226280,0.0,No user reviews,0.0
2701660,8.0,Very Positive,1213.0
8870,8.0,Very Positive,46384.0
16810,8.0,Very Positive,820.0
1357210,6.0,Mostly Positive,1397.0
2994020,0.0,No user reviews,0.0
300,8.0,Very Positive,7252.0
243470,6.0,Mostly Positive,17793.0
110800,8.0,Very Positive,14947.0
927380,9.0,Overwhelmingly Positive,7971.0
1278540,8.0,Very Positive,990.0
1250,9.0,Overwhelmingly Positive,21362.0
311560,8.0,Very Positive,6865.0
24790,8.0,Very Positive,4144.0
768200,8.0,Very Positive,4031.0
946050,0.0,No user reviews,0.0
2084000,9.0,Overwhelmingly Positive,3042.0
2292800,8.0,Very Positive,840.0
292120,6.0,Mostly Positive,8620.0
674940,8.0,Very Positive,52016.0
1324780,8.0,Very Positive,4302.0
1371980,8.0,Very Positive,17214.0
2686630,8.0,Very Positive,551.0
3035570,6.0,Mostly Positive,3758.0
12200,8.0,Very Positive,13872.0
1689500,9.0,Overwhelmingly Positive,1945.0
1943730,6.0,Mostly Positive,264.0
2154770,0.0,No user reviews,0.0
3478050,8.0,Very Positive,413.0
3681640,0.0,No user reviews,0.0
955900,8.0,Very Positive,1757.0
2527500,9.0,Overwhelmingly Positive,22717.0
2885870,9.0,Overwhelmingly Positive,974.0
3135530,0.0,No user reviews,0.0
3716600,8.0,Very Positive,9398.0
3754990,0.0,No user reviews,0.0
1484720,9.0,Overwhelmingly Positive,3682.0
2114740,8.0,Very Positive,4520.0
2683150,8.0,Very Positive,3329.0
3059070,8.0,Very Positive,3236.0
268400,8.0,Very Positive,1251.0
324080,8.0,Very Positive,2904.0
3970,7.0,Positive,18.0
648350,8.0,Very Positive,23120.0
2824490,8.0,Very Positive,1592.0
1641960,8.0,Very Positive,4120.0
354290,0.0,5 user reviews,5.0
919640,6.0,Mostly Positive,4197.0
1282730,8.0,Very Positive,15581.0
1700870,8.0,Very Positive,1786.0
2748340,8.0,Very Positive,471.0
237310,6.0,Mostly Positive,36.0
569480,8.0,Very Positive,18829.0
986130,8.0,Very Positive,10063.0
1672970,8.0,Very Positive,5988.0
1682970,8.0,Very Positive,1551.0
